Название	Год	Ссылка	Оценка
Гарри Поттер и Тайная Комната	2002	http://www.kinopoisk.ru/film/688/	8
Ларго Винч: Заговор в Бирме	2011	http://www.kinopoisk.ru/film/464606/	8
Обитель зла 3	2007	http://www.kinopoisk.ru/film/88172/	8
Принцесса Мононоке	1997	http://www.kinopoisk.ru/film/441/	8
Голубая лагуна	1980	http://www.kinopoisk.ru/film/32864/	8
Геймер	2009	http://www.kinopoisk.ru/film/325393/	8
Роковое число 23	2007	http://www.kinopoisk.ru/film/178579/	8
Лара Крофт: Расхитительница гробниц	2001	http://www.kinopoisk.ru/film/3950/	8
Нападение на 13-й участок	2004	https://www.kinopoisk.ru/film/77555/	8
Джентльмены удачи	1971	http://www.kinopoisk.ru/film/44386/	8
Царство небесное	2005	http://www.kinopoisk.ru/film/2602/	8
1408	2007	http://www.kinopoisk.ru/film/195563/	8
